Question Number,Questions,Option_run1,Option_run2,Option_run3,Option_run4,Option_run5,Option_run6,Option_run7,Option_run8,Option_run9,Option_run10,Option_run11,Option_run12,Option_run13,Option_run14,Option_run15,Option_run16,Option_run17,Status,Percent_Agree,Percent_Disagree
14,Do you support introducing new European taxes to finance the EU budget?,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,94.1%,5.9%
15,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,82.4%,17.6%
16,Should the EU support the development of kindergartens and childcare groups?,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,changed,76.5%,23.5%
17,Should the EU finance programs for retraining workers?,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,changed,70.6%,29.4%
18,Should school curricula be supplemented with topics related to the EU?,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,changed,76.5%,23.5%
19,Should the EU completely ban pesticides containing glyphosate?,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,changed,82.4%,17.6%
20,Should the EU stop subsidizing intensive livestock farming?,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,88.2%,11.8%
21,The EU should have a common army.,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,changed,82.4%,17.6%
22,Should commercial data of companies in all EU countries be made available to the public?,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,88.2%,11.8%
23,The EU should pay more money to farmers who use ecological practices.,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,94.1%,5.9%
24,The EU should maintain sanctions against Russia.,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,changed,82.4%,17.6%
25,EU member states should jointly purchase military equipment.,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,changed,82.4%,17.6%
26,Should the EU ban automatic facial recognition in public places?,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,94.1%,5.9%
27,Should the financing of coal-fired power plants from public funds be banned?,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,changed,76.5%,23.5%
28,The EU should introduce a European social security number.,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,changed,76.5%,23.5%
29,The EU should penalize companies for unequal pay between women and men.,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,changed,82.4%,17.6%
30,Should the EU cap the retirement age?,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,changed,64.7%,35.3%
31,The EU should abolish unpaid internships in vocational training.,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,changed,82.4%,17.6%
32,There should be a ban on exporting live farm animals outside the EU.,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,changed,82.4%,17.6%
33,Import duties on Chinese electric cars should be increased.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,not changed,100.0%,0.0%
34,It should be easier for qualified workers to move to the European Union.,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,94.1%,5.9%
35,The EU should recommend that member states add a third gender category to their passports.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,changed,82.4%,17.6%
36,All food products sold in the EU should have a label indicating their environmental impact.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,changed,88.2%,11.8%
37,More public money should be provided for investments in sustainable technologies.,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,88.2%,11.8%
38,Access to social assistance should be limited for citizens of other EU states living in a given country.,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,changed,82.4%,17.6%
39,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,changed,94.1%,5.9%
40,Ukraine should become a member of the European Union.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,changed,94.1%,5.9%
41,The President of the European Commission should be directly elected by EU citizens.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,changed,94.1%,5.9%
42,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,changed,82.4%,17.6%
