Question Number,Title,Questions,Option,Reason
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Understanding the EU is crucial for informed citizenship and global awareness in today's interconnected world.
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"A dedicated fund ensures resources for border security, addressing both practical and strategic needs effectively."
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,Prioritizing animal welfare and reducing suffering during long journeys is a worthy cause.
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"Joint procurement fosters standardization, reduces costs, and enhances military interoperability within the EU."
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,"Public funds should promote sustainable energy, moving away from environmentally harmful coal."
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,"Unpaid internships exploit workers, hindering fair access to opportunities and devaluing their contributions."
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,"It incentivizes emission reduction, promoting environmental sustainability and potentially driving innovation."
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,Protecting the rule of law is crucial; funding should be contingent on upholding EU values.
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,Aid should be conditional; cooperation on returns is essential for managing migration and upholding EU rules.
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,"It enables quicker, more decisive action and avoids being held hostage by individual member states."
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,Overreaching surveillance risks infringing on privacy and potential for misuse outweighs benefits.
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,Tightening rules promotes fair competition and prevents market distortions within the European Union.
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Providing weapons strengthens Ukraine's defense against aggression and aids in protecting its sovereignty.
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree,This would help consumers make informed choices and promote more sustainable food production practices.
28,European Social Security Number,The EU should introduce a European social security number.,Agree,"It could streamline cross-border social security, simplifying access to benefits and reducing fraud."
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,"Unfettered control allows bias and inaction, harming public trust and potentially enabling harm."
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,"Recognizing diverse gender identities in official documents promotes inclusivity and self-identification, reflecting evolving social norms."
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,"Everyone deserves equal rights and the freedom to marry, regardless of their sexual orientation."
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,Russia's actions necessitate continued pressure to encourage a change in its foreign policy.
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,"Flexibility could aid economic growth & allow investments in crucial areas, promoting stability in times of crises."
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,Ukraine's EU membership would strengthen the bloc and support its democratic values.
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,"Investing in human capital promotes adaptability and economic growth, benefiting both individuals and the Union."
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,Financial aid should prioritize those with greater need to ensure equal access to educational opportunities.
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Stronger powers would likely lead to more effective investigation and prosecution of financial crimes within the EU.
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,"Public access could compromise sensitive business information and competitive advantage, hindering innovation and growth."
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,Subsidies often support environmentally damaging practices. Ending them promotes sustainability and fair competition.
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"EU funds should prioritize social welfare, infrastructure, and other non-military developments for its citizens."
