Question Number,Title,Questions,Option,Reason
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"A dedicated fund could improve border security and manage migrant flows effectively, benefiting all member states."
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,Direct election would increase democratic legitimacy and accountability of the Commission's President to voters.
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Supplying weapons helps Ukraine defend itself and protect its sovereignty against aggression.
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,"Public funds should support cleaner energy sources, reducing pollution and combating climate change more effectively."
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,EU interest ensures media pluralism and upholds journalistic standards within member states for citizens.
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,Recognizing diverse gender identities in official documents promotes inclusivity and equal rights for all citizens.
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,"Public disclosure could compromise competitive advantages and sensitive business information, harming innovation and privacy."
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,It fosters economic resilience by equipping workers with skills for evolving job markets and reducing unemployment.
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"Joint procurement can increase efficiency and standardize equipment across member states, boosting collective defense capabilities."
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree,"Transparency empowers consumers to make informed choices, driving sustainable practices in the food industry."
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,The EU should focus on peaceful initiatives and not fund military development using its budget.
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Disagree,Limiting access based on nationality undermines the principles of free movement and equal treatment within the EU.
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Disagree,"A complete ban might disrupt agriculture, but rigorous safety regulations are essential to manage risks effectively."
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,"Unpaid internships exploit labor, hindering equal opportunity and fair compensation for vocational trainees."
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Understanding the EU is vital for informed citizenship and navigating a globalized world.
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,"It promotes equitable access, ensuring financial barriers don't prevent deserving, less affluent students from participating."
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,"This protects domestic industries and ensures fair competition, though it may increase consumer prices."
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,Ukraine's EU membership will bolster its economy and strengthen its geopolitical position in Europe.
