Question Number,Title,Questions,Option,Reason
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,"Unpaid internships exploit young workers and limit opportunities, hindering fair access to career experience."
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,"Subsidies can incentivize practices harmful to the environment and animal welfare, so ending them would be beneficial."
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,Supporting eco-friendly practices ensures environmental sustainability and benefits the public good.
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"EU funds should prioritize civilian needs, not military endeavors that escalate conflicts."
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public funding accelerates innovation and deployment, benefiting the environment and the economy long-term."
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,"Independent oversight is needed to ensure consistent, unbiased action against harmful disinformation, not self-regulation."
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"Joint procurement can reduce costs, improve standardization, and strengthen collective defense capabilities for EU members."
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,"It incentivizes emission reduction, promoting sustainable practices and mitigating climate change's harmful effects."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,EU support fosters early childhood development and helps families by increasing access to affordable childcare options.
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,"It would allow for swifter, more decisive action on critical issues affecting the Union."
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,"Sensitive commercial data could harm competitiveness and violate privacy, hindering innovation and market dynamics."
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Agree,New taxes could provide a stable funding source and reduce reliance on national contributions.
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,Tighter rules could foster fairer competition and reduce market distortions within the EU.
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It helps address energy poverty and accelerates renewable adoption, which benefits everyone in the long run."
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,Rural areas often lack sufficient healthcare resources; increased funding could improve access.
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Agree,"Some limitations could prevent overburdening social systems, though needs should be assessed fairly."
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,Active EU interest ensures media pluralism and supports journalistic standards across member states.
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,"Retraining ensures a skilled workforce, boosts competitiveness, and supports those affected by economic shifts."
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,"Protects domestic industries and jobs, but risks retaliation and higher costs for consumers in the long run."
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,A dedicated fund would provide resources for stronger border protection against external threats and migration.
21,EU Common Army,The EU should have a common army.,Disagree,A common army could undermine national sovereignty and potentially escalate conflicts within the EU.
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Understanding the EU is vital for informed citizenship and global awareness in today's world.
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,This would boost the EU's economy by filling skill gaps and promoting innovation.
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,"Aid leverage can encourage cooperation on returns, potentially streamlining the asylum process and reducing abuse."
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,It presents high privacy risks and could lead to surveillance abuses without sufficient legal safeguards.
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,Equity demands prioritizing aid for those facing financial barriers to ensure equal opportunities.
